umap.x,umap.y,story
7.780618,3.0999675,1
8.121479,3.6884663,1
8.159924,2.2597897,1
8.875203,3.7655795,1
8.565504,2.5778189,1
8.341152,2.8002532,1
7.2952447,3.4412453,1
7.6742,3.6447568,1
5.976043,3.0481305,1
7.060296,4.2532144,1
8.281943,6.0226502,1
7.841879,6.0830355,1
8.199211,4.06918,1
7.151356,4.7481313,1
5.055495,3.7815948,1
4.6600504,3.37075,1
3.6772199,4.101947,1
3.6618388,4.3484144,1
4.2709794,6.1275244,1
4.8634963,6.421013,1
5.6068134,6.2287107,1
5.166325,6.722392,1
5.835854,6.419878,1
7.53652,7.8460274,1
7.4346075,7.5651217,1
7.672165,6.768068,1
5.6044264,4.054522,1
5.781996,3.4937134,1
5.032872,3.5358584,1
5.999927,5.717863,1
5.079149,4.233339,1
8.190597,6.3640456,1
7.669932,3.1747208,2
7.575552,2.6051576,2
8.074115,2.4217224,2
8.803417,4.1098657,2
8.581008,3.22223,2
8.663036,3.9638038,2
7.5047107,4.1609206,2
6.210935,3.6571493,2
4.836752,5.1910796,2
7.157672,3.8139505,2
8.19174,5.6651464,2
7.8666153,5.6555805,2
7.746058,4.5649977,2
6.8496137,3.1592014,2
4.6998076,4.837378,2
4.697092,3.2673275,2
3.772008,3.8913965,2
4.0624027,5.8848386,2
4.8019185,6.521949,2
5.5508585,6.2515783,2
5.793512,6.9810076,2
7.790467,7.843022,2
7.525105,7.309123,2
5.625618,5.3959374,2
5.460354,4.822937,2
5.5441484,3.1632802,2
6.183012,5.4914064,2
4.822423,4.646469,2
8.347496,5.970991,2
8.050835,3.2786722,3
7.751316,2.5177624,3
7.994667,2.6688087,3
8.640712,4.441769,3
8.583463,3.44894,3
7.351306,3.0597525,3
7.736298,3.9113696,3
5.9278545,3.7919126,3
5.71691,3.3098078,3
7.233351,3.7183695,3
8.213335,5.9039736,3
7.820442,5.783952,3
7.8327274,4.461199,3
6.744686,3.5335443,3
4.8788147,5.112805,3
4.7205176,3.58427,3
4.2226295,3.50535,3
3.5970163,4.0213566,3
3.9827402,5.948241,3
4.4597692,5.8038254,3
5.1899304,6.177766,3
5.493064,6.83296,3
6.101489,6.995335,3
7.6627517,8.052301,3
7.51216,7.72448,3
7.6774745,7.1786823,3
5.6605997,4.563523,3
5.618049,4.795692,3
5.1981153,3.358374,3
6.094518,5.253417,3
4.940055,4.3619018,3
8.262564,6.4845114,3
8.056875,3.4351473,4
7.522762,2.7596865,4
8.155282,2.8112419,4
8.884943,4.3098946,4
8.291194,2.9586942,4
8.453501,4.0598054,4
7.158354,3.0171182,4
7.804059,3.757175,4
6.0726314,3.3374186,4
4.6132917,5.540336,4
6.1139026,2.9865599,4
8.095715,5.48805,4
7.819525,5.8930326,4
8.015426,4.222655,4
6.330449,4.1372895,4
5.1218576,3.2258868,4
4.669953,4.5174317,4
4.4988008,3.1833994,4
3.8364317,3.8074048,4
3.693025,4.2829046,4
4.1380534,5.785222,4
4.351508,5.6585374,4
4.642292,6.2728724,4
5.444447,6.1062436,4
5.4055715,6.7275877,4
6.1247916,6.9451985,4
7.7350287,8.013104,4
7.6935034,7.5988984,4
7.6342874,6.954386,4
5.7003436,4.17946,4
5.347033,4.6716356,4
5.6784782,3.7367635,4
6.085926,4.948788,4
5.051799,4.2724333,4
8.160898,6.3734055,4
