umap.x,umap.y,story,grain
3.8448381,9.1492195,1,1
3.9288378,9.447899,1,1
3.8993115,9.481069,1,1
2.6143615,6.016638,1,1
2.6936886,6.9579763,1,1
4.0589795,9.020452,1,1
4.1723266,10.138701,1,1
3.2487001,10.066834,1,1
3.1671946,10.286751,1,1
4.69994,10.01689,1,1
4.5111356,10.163591,1,1
4.839301,10.194377,1,1
4.278706,9.444195,1,1
3.1093378,6.3507376,1,1
3.3572571,6.155829,1,1
2.1877315,5.6253037,1,1
0.1587774,4.0265465,1,1
1.9373493,5.7714834,1,1
4.1351433,4.432783,1,1
4.6624274,10.1158,1,1
3.5563054,10.077317,1,1
6.799295,5.3402877,1,1
2.9440854,5.5169187,1,1
2.6646686,5.8469386,1,1
2.6302984,5.8958197,1,1
3.6991777,9.858263,1,1
-0.06399797,3.9609706,1,1
6.6436667,7.1440544,1,1
4.5139923,9.394201,1,1
3.6217122,9.096085,1,1
4.2058253,5.057209,1,1
4.6117177,4.318917,1,1
2.2800949,7.028116,1,1
3.1259382,9.210071,1,1
2.9850996,9.5968485,1,1
4.0367208,8.166062,1,1
5.129998,8.837386,1,1
2.2057571,4.4120684,1,1
3.2413971,5.5895915,1,1
2.9152374,3.9330685,1,1
4.4546843,8.875614,1,1
6.204079,8.63516,1,1
6.24388,8.498518,1,1
3.2068837,9.459633,1,1
1.9109794,6.7717867,1,1
2.6415462,6.3320174,1,1
1.9063114,6.6207476,1,1
1.7037716,6.5835943,1,1
1.7706351,6.8503847,1,1
5.8189025,3.7153537,1,1
6.4430795,3.602416,1,1
4.2514873,3.422503,1,1
5.6985044,4.665298,1,1
4.2155237,1.9836758,1,1
4.487888,2.2140725,1,1
5.9769983,3.3567693,1,1
5.42553,3.4472303,1,1
6.531396,3.6910803,1,1
6.492505,4.3002276,1,1
1.8344289,6.579628,1,1
3.3508646,6.831201,1,1
5.3006353,4.706974,1,1
3.2852304,7.098622,1,1
2.845891,9.071593,1,1
5.443168,4.733193,1,1
2.685631,7.668065,1,1
2.7887647,7.9570384,1,1
3.4750373,8.661839,1,1
3.860854,8.541424,1,1
5.4246755,8.438697,1,1
3.9835906,7.817655,1,1
2.7389991,4.3813486,1,1
2.1360786,4.4439144,1,1
5.1039,5.591378,1,1
5.7336283,9.138145,1,1
6.3438296,8.367592,1,1
5.666036,8.576831,1,1
5.748738,7.8548245,1,1
5.4716244,9.644879,1,1
4.523035,7.012715,1,1
4.7243047,6.007876,1,1
4.5598016,5.642065,1,1
3.9095843,4.3473625,1,1
-0.28007632,3.9625773,1,1
-0.0757018,3.8032706,1,1
4.295557,6.4972396,1,1
3.7881606,4.2681117,1,1
2.5052752,4.8115773,1,1
1.2908543,4.1029716,1,1
2.48888,3.506431,1,1
2.5068595,3.3103313,1,1
2.5878663,4.1797442,1,1
3.536435,5.0681257,1,1
4.564287,5.4161506,1,1
2.1813486,4.9612737,1,1
3.526203,4.763616,1,1
3.3927598,3.9126208,1,1
2.8787725,3.1640835,1,1
3.6922088,3.543142,1,1
3.9709527,4.1768007,1,1
6.00574,3.8924594,1,1
4.344341,6.1398206,1,1
5.5874867,6.66918,1,1
6.0542974,7.1910453,1,1
2.4521925,4.529318,1,1
3.5703912,4.5340724,1,1
3.0172346,4.6568055,1,1
3.5864036,3.1789608,1,1
3.9796536,3.1904593,1,1
3.7805834,2.9634542,1,1
3.2685554,3.0249126,1,1
3.2833126,3.1029909,1,1
5.3369856,7.2217445,1,1
