umap.x,umap.y,story
3.8797631,7.9551544,1
4.1867824,8.487889,1
4.30307,8.435645,1
4.3102293,8.408605,1
4.129523,4.6943235,1
3.6235077,5.6786394,1
4.4922647,8.032003,1
4.81555,9.501464,1
3.5306458,9.125502,1
3.2944822,9.191038,1
5.236584,8.710291,1
5.158245,9.017673,1
5.1914115,8.901478,1
4.708448,8.48099,1
4.2854066,5.330349,1
4.574196,5.145534,1
3.889925,4.1849937,1
3.159768,1.5002106,1
3.638671,4.2013464,1
6.2364883,3.6316931,1
4.8530226,8.944252,1
3.796579,9.226002,1
8.170382,5.559416,1
4.735685,4.3948827,1
4.194881,4.7716312,1
4.1350174,4.885986,1
4.0533304,9.114369,1
3.1903875,1.148517,1
7.095309,6.1785026,1
4.4700637,9.006181,1
3.8790123,8.331853,1
5.843853,4.4507227,1
6.566985,3.3738556,1
3.2551067,5.4218264,1
3.47076,8.192577,1
3.3040748,8.47653,1
4.65306,7.2251253,1
5.524203,8.139114,1
4.4923854,3.1063952,1
4.894086,4.597744,1
5.174679,2.7608366,1
4.723629,8.125146,1
6.583513,8.312702,1
6.4152656,8.25561,1
3.4728327,8.476114,1
3.1263595,5.11405,1
3.749704,5.1133666,1
3.1908665,5.1076202,1
3.1547077,4.9460344,1
2.9509254,5.0279665,1
7.8500867,3.59917,1
8.595391,3.8563867,1
6.353983,2.655406,1
7.512523,4.427256,1
6.759206,1.5509273,1
7.210484,1.701609,1
8.015551,3.4322586,1
7.656195,3.158174,1
8.668962,3.8851342,1
8.389899,4.5706162,1
3.0073047,4.7611957,1
4.3210235,5.7856884,1
7.1253166,4.54994,1
4.055511,6.0199213,1
3.0986583,7.8637195,1
7.178329,4.5648813,1
3.2531176,6.2254095,1
3.3517156,6.677844,1
3.870877,7.6471276,1
4.168762,7.539122,1
5.8176546,7.992006,1
4.515004,6.936873,1
4.829438,3.3310614,1
4.328117,3.1153862,1
6.494351,5.219178,1
6.4551086,8.92459,1
6.5679364,7.9564314,1
6.0913563,8.27882,1
6.462611,7.3810916,1
5.822949,9.153231,1
5.4023275,6.37774,1
5.9892006,5.640701,1
