umap.x,umap.y,story,grain
16.300104,1.4515799,1,1
17.84734,2.898067,1,1
18.075542,2.7698462,1,1
17.85024,2.8302555,1,1
17.958382,2.6041064,1,1
15.265741,3.018908,1,1
17.46677,4.3558135,1,1
16.536655,1.3494656,1,1
15.742739,4.6054335,1,1
13.129053,2.9965007,1,1
14.700705,3.1606102,1,1
16.390566,4.684413,1,1
16.48664,1.3511541,1,1
15.827149,2.8647478,1,1
16.936794,3.3319952,1,1
17.081572,4.8638844,1,1
15.726578,4.749311,1,1
13.392288,0.5502706,1,1
15.18858,1.8895338,1,1
18.486156,2.2800992,1,1
18.188684,4.5461655,1,1
14.699517,2.3245108,1,1
18.048147,4.721386,1,1
17.77804,3.2195232,1,1
12.614559,2.4956565,1,1
12.850261,3.377294,1,1
14.5714,2.0682209,1,1
13.05125,0.6135852,1,1
13.039855,2.6440394,1,1
13.588517,3.8238251,1,1
13.637883,4.165026,1,1
12.702707,3.2812629,1,1
14.177798,2.3329134,1,1
14.038378,2.2012854,1,1
13.0162735,3.5943727,1,1
12.5710535,2.9397104,1,1
14.604783,3.0233357,1,1
12.886828,2.602856,1,1
15.241787,3.5419528,1,1
15.081815,2.7746181,1,1
13.280965,2.4033122,1,1
14.242825,1.7675693,1,1
14.898278,2.6568203,1,1
13.071607,0.60496825,1,1
12.742745,2.9733543,1,1
17.233774,4.097942,1,1
12.621286,2.5904799,1,1
13.256828,2.9036055,1,1
14.966511,1.3358835,1,1
13.772906,2.0181909,1,1
13.59141,3.045544,1,1
13.201143,3.705494,1,1
17.932308,4.3571353,1,1
17.956587,2.2442157,1,1
16.028059,1.5600963,1,1
14.327795,2.5907404,1,1
15.670674,1.0985276,1,1
13.351952,2.1570287,1,1
16.847233,3.0950384,1,1
18.723364,2.8851688,1,1
13.642416,3.1133585,1,1
17.110115,1.1950285,1,1
18.138426,3.9952304,1,1
17.141005,1.6067921,1,1
13.091784,3.7681007,1,1
14.00118,2.8659728,1,1
13.171275,0.8606362,1,1
12.631979,2.9767084,1,1
14.381524,3.0675228,1,1
12.658179,2.87384,1,1
16.870867,1.1499062,1,1
13.451543,0.5181062,1,1
18.187347,3.6734626,1,1
18.09689,4.0819798,1,1
18.65754,3.9695647,1,1
