umap.x,umap.y,story,window
1.5446063,7.4370556,1,1
2.3152716,8.958413,1,1
2.5340528,9.248448,1,1
2.3220034,8.936117,1,1
2.0860703,9.00397,1,1
3.3233206,6.5909395,1,1
4.09347,8.6526165,1,1
1.4553033,7.4342647,1,1
5.0116396,7.1805215,1,1
3.9862351,4.3106375,1,1
3.839138,6.0301323,1,1
4.6854014,7.911714,1,1
1.5139692,7.2429266,1,1
2.4652193,6.9779453,1,1
3.1802962,8.508715,1,1
4.8343663,8.87934,1,1
4.7272925,7.4881487,1,1
1.5429825,4.503299,1,1
3.1731765,5.5885563,1,1
2.5859535,9.594921,1,1
4.2686567,9.94091,1,1
2.793049,5.963358,1,1
4.3203397,9.906707,1,1
3.1129322,9.314717,1,1
3.5593262,4.0730987,1,1
4.2018766,4.7072086,1,1
2.7869923,5.716781,1,1
1.6692803,4.114237,1,1
3.849657,4.508315,1,1
4.998038,4.6880174,1,1
5.0302944,5.1742744,1,1
4.2136273,4.7289963,1,1
3.33293,5.4125304,1,1
3.3637683,5.409012,1,1
4.2030754,5.0903096,1,1
3.996136,4.2599463,1,1
3.6938894,5.9047046,1,1
3.782926,4.325399,1,1
3.9979787,6.2602525,1,1
3.1049562,6.412115,1,1
3.5329463,4.486175,1,1
2.5645478,5.330902,1,1
2.9929304,6.2696486,1,1
1.6540667,4.066927,1,1
3.978601,4.154758,1,1
3.9030945,8.928827,1,1
3.6377409,4.1188354,1,1
4.0072527,4.3893347,1,1
1.9937029,5.6872663,1,1
3.0585845,4.9668436,1,1
3.9483936,4.9471936,1,1
4.4530363,5.1631336,1,1
4.054402,9.662043,1,1
2.4359777,9.092192,1,1
1.5863305,7.089256,1,1
3.6611354,5.591174,1,1
1.678868,6.385592,1,1
3.2787352,4.506722,1,1
2.9057772,8.463996,1,1
2.3925698,9.985976,1,1
4.207893,4.93131,1,1
1.239626,7.3728337,1,1
3.639611,9.6543865,1,1
1.7062451,7.9063363,1,1
4.25648,5.264345,1,1
3.872238,5.3328958,1,1
1.9518553,4.3179383,1,1
4.1156693,4.144395,1,1
3.826781,5.7761965,1,1
3.9341223,4.106904,1,1
1.2911183,7.4073,1,1
1.5259658,4.5410447,1,1
3.4255517,9.7332,1,1
3.8967376,9.815856,1,1
3.559404,10.252923,1,1
2.4658554,9.457908,1,1
3.034002,8.565286,1,1
2.6920807,9.706611,1,1
3.6236205,5.8461556,1,1
3.7724538,4.4718747,1,1
3.052612,10.58308,1,1
2.8903868,10.012572,1,1
4.5493526,9.87804,1,1
4.707599,8.814478,1,1
2.4442759,4.0858,1,1
3.2709415,5.3016553,1,1
3.741179,4.6158085,1,1
1.8051797,7.139441,1,1
3.4747777,4.0579095,1,1
4.8420076,7.7675433,1,1
2.8108983,9.900833,1,1
1.9814343,7.2979374,1,1
3.6561463,4.62818,1,1
2.21462,8.267404,1,1
2.1898506,7.831737,1,1
3.784028,5.5118856,1,1
3.1397092,5.6441774,1,1
1.3722453,7.502306,1,1
3.1090796,10.542801,1,1
2.8269272,7.3968086,1,1
4.091701,4.9133363,1,1
5.3774676,6.0817375,1,1
2.0248222,7.6097894,1,1
3.2759452,4.048809,1,1
2.8942664,10.096734,1,1
1.520277,4.3555503,1,1
2.686249,8.140927,1,1
2.2423303,8.837813,1,1
3.3152356,6.6543217,1,1
3.4278355,8.747732,1,1
3.2835288,7.7731533,1,1
3.4986782,5.963494,1,1
4.53413,9.856873,1,1
2.0534625,4.423009,1,1
3.3117905,8.341074,1,1
1.7756468,7.6100173,1,1
2.1607916,8.855465,1,1
3.0707448,7.3559637,1,1
4.4028807,4.721926,1,1
2.5795197,6.8835454,1,1
4.4655504,4.598255,1,1
2.6183465,7.8965154,1,1
4.3221507,9.101322,1,1
1.7581714,4.2656455,1,1
3.747896,4.5892787,1,1
5.079516,4.637584,1,1
4.491064,8.562542,1,1
5.0389485,4.932416,1,1
4.5678606,6.4271393,1,1
1.6803869,4.1427455,1,1
5.9957447,6.9490595,1,1
4.917671,4.5851603,1,1
3.8218849,8.968323,1,1
3.0429258,6.446964,1,1
1.3534716,7.581513,1,1
2.0347288,5.233151,1,1
4.870238,4.4496894,1,1
2.9902139,10.509461,1,1
3.1288114,8.533281,1,1
1.9852945,7.2096167,1,1
3.8690383,5.582648,1,1
2.046729,5.5469384,1,1
2.3635468,7.423764,1,1
1.6506296,4.085771,1,1
4.4389668,4.904339,1,1
4.5194488,4.678548,1,1
4.4600077,7.762231,1,1
4.414068,6.028679,1,1
3.5871735,9.373864,1,1
1.5449177,4.4586234,1,1
2.0549116,8.293053,1,1
2.5830364,9.819783,1,1
2.5386655,6.1291914,1,1
5.3107305,8.158517,1,1
3.0490773,5.4515514,1,1
2.29415,8.662581,1,1
2.659593,8.156409,1,1
2.8640082,6.2780557,1,1
2.429976,6.1621046,1,1
3.304574,7.727955,1,1
3.0616596,7.9133782,1,1
2.5816717,9.423973,1,1
2.5156422,6.1081033,1,1
2.746218,9.006442,1,1
2.804848,10.065147,1,1
3.9873183,9.748165,1,1
3.992765,5.6190777,1,1
4.4246387,4.261153,1,1
4.3456635,9.587706,1,1
2.8294783,6.986075,1,1
2.1010118,5.7415447,1,1
2.8245149,8.971685,1,1
3.384771,8.081608,1,1
3.5763602,7.230001,1,1
2.8795464,8.548928,1,1
4.1193533,8.562186,1,1
5.1445694,7.053891,1,1
5.4016876,6.124499,1,1
1.6131753,7.7936053,2,1
2.3713484,9.156708,2,1
2.4251263,9.309536,2,1
1.5811335,7.28675,2,1
5.0788465,9.174011,2,1
5.121793,9.039393,2,1
3.3496952,6.0952845,2,1
2.0906951,9.079755,2,1
5.6351547,6.9065633,2,1
5.875708,8.827373,2,1
2.2808292,8.235003,2,1
4.387194,7.427001,2,1
2.426288,7.182862,2,1
4.6283555,7.3192463,2,1
1.8843423,6.995875,2,1
3.471109,7.0009017,2,1
2.7216468,8.1935215,2,1
6.045401,8.964504,2,1
4.5508695,6.5211773,2,1
6.1694093,9.551643,2,1
4.3221235,6.416086,2,1
4.6313486,6.520855,2,1
4.8628464,7.993986,2,1
2.194232,7.5665503,2,1
2.7052753,7.898639,2,1
4.874849,8.813197,2,1
4.858249,8.701638,2,1
4.2788534,9.887255,2,1
2.6180243,9.52639,2,1
3.6022067,9.47681,2,1
4.336485,9.587977,2,1
5.399576,9.857494,2,1
2.70469,5.8166637,2,1
2.7308984,5.803682,2,1
3.033386,5.3100595,2,1
3.0764863,9.539033,2,1
4.2158003,5.2524233,2,1
3.8771095,4.323576,2,1
4.1402597,4.647364,2,1
2.5925047,4.7424045,2,1
4.1922903,6.402861,2,1
4.3708844,5.8943787,2,1
4.7287993,9.592537,2,1
4.2325106,6.3765054,2,1
2.7805467,7.582443,2,1
4.6055083,5.522217,2,1
4.69021,4.9170375,2,1
3.0868604,5.2950354,2,1
3.958577,9.59765,2,1
2.3186545,9.114427,2,1
1.2057644,6.808117,2,1
1.6724298,6.4719834,2,1
3.2198095,4.752819,2,1
3.2325163,10.224464,2,1
2.0188785,7.6357775,2,1
1.2330703,7.514962,2,1
3.4655035,9.636428,2,1
4.3686714,5.4629107,2,1
4.7629175,5.5410047,2,1
4.035522,5.643715,2,1
4.4097924,10.16823,2,1
2.3235161,9.101436,2,1
2.3191228,8.808101,2,1
4.3082733,10.770792,2,1
5.9058146,10.172994,2,1
2.657278,9.586061,2,1
4.0888596,10.632349,2,1
2.9115574,7.6429133,2,1
5.8459797,9.727846,2,1
3.6242604,10.793369,2,1
3.9908845,11.070636,2,1
5.1760945,9.960089,2,1
4.543419,8.825433,2,1
4.2930326,10.9743395,2,1
3.3696802,4.6689963,2,1
4.3877993,11.205291,2,1
4.3707943,10.348386,2,1
4.3731503,11.014155,2,1
3.256882,4.7724495,2,1
2.1354225,5.360122,2,1
2.0718122,7.4995756,2,1
4.3705688,5.8460307,2,1
5.9962473,8.524507,2,1
3.3263714,4.7539988,2,1
