story,variable,dtw.distance,x.story,y.story,translation.steps,pair
english1,english1,0,1,1,0,english1 english1
russian2,english1,0.37110622506821483,2,1,1,russian2 english1
french3,english1,0.42126320859475896,3,1,2,french3 english1
english4,english1,0.38591012572442546,4,1,3,english4 english1
english1,russian2,0.37110622506821483,1,2,-1,english1 russian2
russian2,russian2,0,2,2,0,russian2 russian2
french3,russian2,0.30194889988206614,3,2,1,french3 russian2
english4,russian2,0.3721775799491677,4,2,2,english4 russian2
english1,french3,0.42126320859475896,1,3,-2,english1 french3
russian2,french3,0.30194889988206614,2,3,-1,russian2 french3
french3,french3,0,3,3,0,french3 french3
english4,french3,0.17605977868243888,4,3,1,english4 french3
english1,english4,0.38591012572442546,1,4,-3,english1 english4
russian2,english4,0.3721775799491677,2,4,-2,russian2 english4
french3,english4,0.17605977868243888,3,4,-1,french3 english4
english4,english4,0,4,4,0,english4 english4
