x,y,value,x.num,y.num,x.story,y.story,x.max,y.max,x.num.prop,y.num.prop,max.sim,num.prop.diff,num.prop.diff.abs,translation_steps,rscore.pred.diff,rscore.pred.diff.abs,rscore.avg.cos,rscore.avg.cos.med
eng1.1,eng1.1,0.99999976,1,1,eng1,eng1,158,158,0.006329113924050633,0.006329113924050633,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.2,eng1.2,1.0000001,2,2,eng1,eng1,158,158,0.012658227848101266,0.012658227848101266,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.3,eng1.3,1,3,3,eng1,eng1,158,158,0.0189873417721519,0.0189873417721519,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.4,eng1.4,1.0000001,4,4,eng1,eng1,158,158,0.02531645569620253,0.02531645569620253,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.5,eng1.5,1.0000002,5,5,eng1,eng1,158,158,0.03164556962025317,0.03164556962025317,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.6,eng1.6,0.9999999,6,6,eng1,eng1,158,158,0.0379746835443038,0.0379746835443038,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.7,eng1.7,0.9999999,7,7,eng1,eng1,158,158,0.04430379746835443,0.04430379746835443,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.8,eng1.8,1.0000001,8,8,eng1,eng1,158,158,0.05063291139240506,0.05063291139240506,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.9,eng1.9,1,9,9,eng1,eng1,158,158,0.056962025316455694,0.056962025316455694,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.10,eng1.10,0.9999999,10,10,eng1,eng1,158,158,0.06329113924050633,0.06329113924050633,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.11,eng1.11,1.0000001,11,11,eng1,eng1,158,158,0.06962025316455696,0.06962025316455696,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.12,eng1.12,1.0000001,12,12,eng1,eng1,158,158,0.0759493670886076,0.0759493670886076,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.13,eng1.13,1,13,13,eng1,eng1,158,158,0.08227848101265822,0.08227848101265822,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.14,eng1.14,1.0000001,14,14,eng1,eng1,158,158,0.08860759493670886,0.08860759493670886,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.15,eng1.15,0.99999964,15,15,eng1,eng1,158,158,0.0949367088607595,0.0949367088607595,0.99999964,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.16,eng1.16,1,16,16,eng1,eng1,158,158,0.10126582278481013,0.10126582278481013,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.17,eng1.17,1,17,17,eng1,eng1,158,158,0.10759493670886076,0.10759493670886076,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.18,eng1.18,1.0000001,18,18,eng1,eng1,158,158,0.11392405063291139,0.11392405063291139,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.19,eng1.19,1.0000002,19,19,eng1,eng1,158,158,0.12025316455696203,0.12025316455696203,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.20,eng1.20,1,20,20,eng1,eng1,158,158,0.12658227848101267,0.12658227848101267,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.21,eng1.21,1,21,21,eng1,eng1,158,158,0.13291139240506328,0.13291139240506328,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.22,eng1.22,1.0000002,22,22,eng1,eng1,158,158,0.13924050632911392,0.13924050632911392,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.23,eng1.23,1.0000002,23,23,eng1,eng1,158,158,0.14556962025316456,0.14556962025316456,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.24,eng1.24,0.99999976,24,24,eng1,eng1,158,158,0.1518987341772152,0.1518987341772152,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.25,eng1.25,0.99999994,25,25,eng1,eng1,158,158,0.15822784810126583,0.15822784810126583,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.26,eng1.26,1.0000001,26,26,eng1,eng1,158,158,0.16455696202531644,0.16455696202531644,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.27,eng1.27,0.9999999,27,27,eng1,eng1,158,158,0.17088607594936708,0.17088607594936708,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.28,eng1.28,1,28,28,eng1,eng1,158,158,0.17721518987341772,0.17721518987341772,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.29,eng1.29,1.0000002,29,29,eng1,eng1,158,158,0.18354430379746836,0.18354430379746836,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.30,eng1.30,1,30,30,eng1,eng1,158,158,0.189873417721519,0.189873417721519,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.31,eng1.31,0.9999999,31,31,eng1,eng1,158,158,0.1962025316455696,0.1962025316455696,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.32,eng1.32,0.9999998,32,32,eng1,eng1,158,158,0.20253164556962025,0.20253164556962025,0.9999998,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.33,eng1.33,0.9999999,33,33,eng1,eng1,158,158,0.2088607594936709,0.2088607594936709,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.34,eng1.34,1.0000002,34,34,eng1,eng1,158,158,0.21518987341772153,0.21518987341772153,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.35,eng1.35,0.99999964,35,35,eng1,eng1,158,158,0.22151898734177214,0.22151898734177214,0.99999964,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.36,eng1.36,0.9999999,36,36,eng1,eng1,158,158,0.22784810126582278,0.22784810126582278,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.37,eng1.37,1.0000002,37,37,eng1,eng1,158,158,0.23417721518987342,0.23417721518987342,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.38,eng1.38,0.9999999,38,38,eng1,eng1,158,158,0.24050632911392406,0.24050632911392406,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.39,eng1.39,0.9999999,39,39,eng1,eng1,158,158,0.2468354430379747,0.2468354430379747,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.40,eng1.40,0.9999999,40,40,eng1,eng1,158,158,0.25316455696202533,0.25316455696202533,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.41,eng1.41,1.0000002,41,41,eng1,eng1,158,158,0.25949367088607594,0.25949367088607594,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.42,eng1.42,0.9999999,42,42,eng1,eng1,158,158,0.26582278481012656,0.26582278481012656,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.43,eng1.43,0.9999998,43,43,eng1,eng1,158,158,0.2721518987341772,0.2721518987341772,0.9999998,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.44,eng1.44,0.9999999,44,44,eng1,eng1,158,158,0.27848101265822783,0.27848101265822783,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.45,eng1.45,1.0000001,45,45,eng1,eng1,158,158,0.2848101265822785,0.2848101265822785,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.46,eng1.46,0.99999976,46,46,eng1,eng1,158,158,0.2911392405063291,0.2911392405063291,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.47,eng1.47,0.9999997,47,47,eng1,eng1,158,158,0.2974683544303797,0.2974683544303797,0.9999997,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.48,eng1.48,1,48,48,eng1,eng1,158,158,0.3037974683544304,0.3037974683544304,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.49,eng1.49,0.9999999,49,49,eng1,eng1,158,158,0.310126582278481,0.310126582278481,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.50,eng1.50,1.0000002,50,50,eng1,eng1,158,158,0.31645569620253167,0.31645569620253167,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.51,eng1.51,1.0000004,51,51,eng1,eng1,158,158,0.3227848101265823,0.3227848101265823,1.0000004,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.52,eng1.52,1,52,52,eng1,eng1,158,158,0.3291139240506329,0.3291139240506329,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.53,eng1.53,0.9999999,53,53,eng1,eng1,158,158,0.33544303797468356,0.33544303797468356,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.54,eng1.54,0.9999999,54,54,eng1,eng1,158,158,0.34177215189873417,0.34177215189873417,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.55,eng1.55,0.99999976,55,55,eng1,eng1,158,158,0.34810126582278483,0.34810126582278483,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.56,eng1.56,0.9999999,56,56,eng1,eng1,158,158,0.35443037974683544,0.35443037974683544,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.156,eng1.56,0.9999999,156,56,eng1,eng1,158,158,0.9873417721518988,0.35443037974683544,0.9999999,-0.6329113924050633,0.6329113924050633,0,0,0.007911392405063292,0.999999994875,1
eng1.57,eng1.57,1.0000001,57,57,eng1,eng1,158,158,0.36075949367088606,0.36075949367088606,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.58,eng1.58,0.99999976,58,58,eng1,eng1,158,158,0.3670886075949367,0.3670886075949367,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.59,eng1.59,1,59,59,eng1,eng1,158,158,0.37341772151898733,0.37341772151898733,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.60,eng1.60,0.99999994,60,60,eng1,eng1,158,158,0.379746835443038,0.379746835443038,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.61,eng1.61,1,61,61,eng1,eng1,158,158,0.3860759493670886,0.3860759493670886,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.62,eng1.62,0.9999999,62,62,eng1,eng1,158,158,0.3924050632911392,0.3924050632911392,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.63,eng1.63,0.99999994,63,63,eng1,eng1,158,158,0.3987341772151899,0.3987341772151899,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.64,eng1.64,1.0000002,64,64,eng1,eng1,158,158,0.4050632911392405,0.4050632911392405,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.65,eng1.65,0.9999999,65,65,eng1,eng1,158,158,0.41139240506329117,0.41139240506329117,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.66,eng1.66,1,66,66,eng1,eng1,158,158,0.4177215189873418,0.4177215189873418,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.67,eng1.67,1.0000002,67,67,eng1,eng1,158,158,0.4240506329113924,0.4240506329113924,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.68,eng1.68,1.0000001,68,68,eng1,eng1,158,158,0.43037974683544306,0.43037974683544306,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.69,eng1.69,0.99999964,69,69,eng1,eng1,158,158,0.43670886075949367,0.43670886075949367,0.99999964,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.70,eng1.70,1,70,70,eng1,eng1,158,158,0.4430379746835443,0.4430379746835443,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.71,eng1.71,0.99999994,71,71,eng1,eng1,158,158,0.44936708860759494,0.44936708860759494,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.72,eng1.72,0.9999997,72,72,eng1,eng1,158,158,0.45569620253164556,0.45569620253164556,0.9999997,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.73,eng1.73,1,73,73,eng1,eng1,158,158,0.4620253164556962,0.4620253164556962,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.74,eng1.74,1.0000001,74,74,eng1,eng1,158,158,0.46835443037974683,0.46835443037974683,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.75,eng1.75,1,75,75,eng1,eng1,158,158,0.47468354430379744,0.47468354430379744,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.76,eng1.76,1.0000002,76,76,eng1,eng1,158,158,0.4810126582278481,0.4810126582278481,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.77,eng1.77,1,77,77,eng1,eng1,158,158,0.4873417721518987,0.4873417721518987,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.78,eng1.78,1,78,78,eng1,eng1,158,158,0.4936708860759494,0.4936708860759494,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.79,eng1.79,1.0000004,79,79,eng1,eng1,158,158,0.5,0.5,1.0000004,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.80,eng1.80,0.9999999,80,80,eng1,eng1,158,158,0.5063291139240507,0.5063291139240507,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.81,eng1.81,1,81,81,eng1,eng1,158,158,0.5126582278481012,0.5126582278481012,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.82,eng1.82,1.0000001,82,82,eng1,eng1,158,158,0.5189873417721519,0.5189873417721519,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.83,eng1.83,1.0000001,83,83,eng1,eng1,158,158,0.5253164556962026,0.5253164556962026,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.84,eng1.84,1,84,84,eng1,eng1,158,158,0.5316455696202531,0.5316455696202531,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.85,eng1.85,1.0000001,85,85,eng1,eng1,158,158,0.5379746835443038,0.5379746835443038,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.86,eng1.86,0.99999976,86,86,eng1,eng1,158,158,0.5443037974683544,0.5443037974683544,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.87,eng1.87,1.0000004,87,87,eng1,eng1,158,158,0.5506329113924051,0.5506329113924051,1.0000004,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.88,eng1.88,1.0000001,88,88,eng1,eng1,158,158,0.5569620253164557,0.5569620253164557,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.89,eng1.89,1.0000002,89,89,eng1,eng1,158,158,0.5632911392405063,0.5632911392405063,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.90,eng1.90,0.99999994,90,90,eng1,eng1,158,158,0.569620253164557,0.569620253164557,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.91,eng1.91,0.99999994,91,91,eng1,eng1,158,158,0.5759493670886076,0.5759493670886076,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.92,eng1.92,0.9999998,92,92,eng1,eng1,158,158,0.5822784810126582,0.5822784810126582,0.9999998,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.93,eng1.93,0.9999998,93,93,eng1,eng1,158,158,0.5886075949367089,0.5886075949367089,0.9999998,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.94,eng1.94,1,94,94,eng1,eng1,158,158,0.5949367088607594,0.5949367088607594,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.95,eng1.95,1.0000001,95,95,eng1,eng1,158,158,0.6012658227848101,0.6012658227848101,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.96,eng1.96,1.0000002,96,96,eng1,eng1,158,158,0.6075949367088608,0.6075949367088608,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.97,eng1.97,1.0000001,97,97,eng1,eng1,158,158,0.6139240506329114,0.6139240506329114,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.98,eng1.98,1.0000002,98,98,eng1,eng1,158,158,0.620253164556962,0.620253164556962,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.99,eng1.99,1,99,99,eng1,eng1,158,158,0.6265822784810127,0.6265822784810127,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.100,eng1.100,1,100,100,eng1,eng1,158,158,0.6329113924050633,0.6329113924050633,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.101,eng1.101,1,101,101,eng1,eng1,158,158,0.6392405063291139,0.6392405063291139,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.102,eng1.102,1.0000002,102,102,eng1,eng1,158,158,0.6455696202531646,0.6455696202531646,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.103,eng1.103,0.99999976,103,103,eng1,eng1,158,158,0.6518987341772152,0.6518987341772152,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.104,eng1.104,1,104,104,eng1,eng1,158,158,0.6582278481012658,0.6582278481012658,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.105,eng1.105,1.0000001,105,105,eng1,eng1,158,158,0.6645569620253164,0.6645569620253164,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.106,eng1.106,1.0000001,106,106,eng1,eng1,158,158,0.6708860759493671,0.6708860759493671,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.107,eng1.107,0.99999994,107,107,eng1,eng1,158,158,0.6772151898734177,0.6772151898734177,0.99999994,0,0,0,0,0.007911392405063292,0.999999994875,1
