story,chunk,lang,sentences,chunk_sent_num,chunk_prop_num,sent_num,prop_num
1,1,eng,"Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Varanasi, and overtaking on his way a monk of venerable appearance who was walking in the same direction, he thought to himself; ' This shramana' looks noble and saintly, Companionship with good men brings luck; should he also be going to Varanasi, I will invite him to ride with me in my carriage.""",1,0.04,1,0.006369426751592357
1,1,eng,Having saluted the shramana he told him whither he was driving and at what inn he intended to stay in Varanasi.,2,0.08,2,0.012738853503184714
1,1,eng,"Learning that the shramana, whose name was Narada, also was travelling to Varanasi, he asked him to accept a seat in his carriage.",3,0.12,3,0.01910828025477707
1,1,eng,"'I am obliged to you for your kindness,"" said the shramana to the Brahman, for I am quite worn out by the long journey.",4,0.16,4,0.025477707006369428
1,1,eng,"Having no possessions in this world, I cannot repay you in money; but it may happen that I can reward you with some spiritual treasure out of the wealth of the information I have received while following Shakyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.""",5,0.2,5,0.03184713375796178
1,1,eng,Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Narada.,6,0.24,6,0.03821656050955414
1,1,eng,"After about an hour's journey, they came to a place where the road had become almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress.",7,0.28,7,0.044585987261146494
1,1,eng,"Dévala, the owner of the cart, was on his way to Varanasi to sell his rice, and was anxious to reach the town before the dawn of the next morning.",8,0.32,8,0.050955414012738856
1,1,eng,"If he was delayed a day or two longer, the rice merchants might have left town or bought all the stock they needed.",9,0.36,9,0.05732484076433121
1,1,eng,"When the jeweller saw that he could not proceed on his way unless the farmer's cart was removed, he began to grow angry and ordered Mahadata, his slave, to push the cart aside, so that his carriage could pass by.",10,0.4,10,0.06369426751592357
1,1,eng,"The farmer remonstrated because it being so near the slope of the road, it would jeopardise his cargo; but the Brahman would not listen to the farmer and bade his servant overturn the rice cart and push it aside.",11,0.44,11,0.07006369426751592
1,1,eng,"Mahaduta, an unusually strong man who seemed to take delight in the injury of others, obeyed before the shramana could interfere.",12,0.48,12,0.07643312101910828
1,1,eng,"When Pandu was about to continue his travel the shramana jumped out of the carriage and said: 'Excuse me, sir, for leaving you here.",13,0.52,13,0.08280254777070063
1,1,eng,I am under obligations for your kindness in giving me an hour's ride in your carriage.,14,0.56,14,0.08917197452229299
1,1,eng,"I was tired when you picked me up on the road, but now thanks to your courtesy, I am rested, and recognising in this farmer an incarnation of one of your ancestors I cannot repay your kindness better than by assisting him in his troubles.""",15,0.6,15,0.09554140127388536
1,1,eng,"The Brahman looked at the shramana in amazement: ""That farmer, you say, is an incarnation of one of my ancestors?",16,0.64,16,0.10191082802547771
1,1,eng,"That is impossible.""",17,0.68,17,0.10828025477707007
1,1,eng,"""I know,"" replied the shramana, ""that you are not aware of the numerous important relations which tie your fate to that of the farmer.",18,0.72,18,0.11464968152866242
1,1,eng,"But the blind man cannot be expected to see; so I regret that you do harm to yourself and I shall try to protect you against the wounds which you are about to inflict upon yourself.""",19,0.76,19,0.12101910828025478
