sliding.sentences,story,lang,sentence_num,prop_num
"KARMA.   A TALE WITH A MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with",1,eng,1,2.5150905432595576e-4
"  A TALE WITH A MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with a",1,eng,2,5.030181086519115e-4
" A TALE WITH A MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant",1,eng,3,7.545271629778672e-4
"A TALE WITH A MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in",1,eng,4,0.001006036217303823
"TALE WITH A MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a",1,eng,5,0.0012575452716297787
"WITH A MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage",1,eng,6,0.0015090543259557343
"A MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on",1,eng,7,0.0017605633802816902
"MORAL.   Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some",1,eng,8,0.002012072434607646
"  Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative",1,eng,9,0.0022635814889336017
" Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business",1,eng,10,0.0025150905432595573
"Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to",1,eng,11,0.002766599597585513
"a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Vârânasî,",1,eng,12,0.0030181086519114686
"wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Vârânasî, and",1,eng,13,0.0032696177062374247
"jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Vârânasî, and overtaking",1,eng,14,0.0035211267605633804
"of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Vârânasî, and overtaking on",1,eng,15,0.003772635814889336
"the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Vârânasî, and overtaking on his",1,eng,16,0.004024144869215292
"Brahman caste, was travelling with a servant in a carriage on some lucrative business to Vârânasî, and overtaking on his way",1,eng,17,0.004275653923541248
"caste, was travelling with a servant in a carriage on some lucrative business to Vârânasî, and overtaking on his way a",1,eng,18,0.004527162977867203
"was travelling with a servant in a carriage on some lucrative business to Vârânasî, and overtaking on his way a monk",1,eng,19,0.004778672032193159
"travelling with a servant in a carriage on some lucrative business to Vârânasî, and overtaking on his way a monk of",1,eng,20,0.005030181086519115
"with a servant in a carriage on some lucrative business to Vârânasî, and overtaking on his way a monk of venerable",1,eng,21,0.00528169014084507
"a servant in a carriage on some lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance",1,eng,22,0.005533199195171026
"servant in a carriage on some lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance who",1,eng,23,0.005784708249496982
"in a carriage on some lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance who was",1,eng,24,0.006036217303822937
"a carriage on some lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance who was walking",1,eng,25,0.006287726358148894
"carriage on some lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance who was walking in",1,eng,26,0.006539235412474849
"on some lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance who was walking in the",1,eng,27,0.006790744466800805
"some lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance who was walking in the same",1,eng,28,0.007042253521126761
"lucrative business to Vârânasî, and overtaking on his way a monk of venerable appearance who was walking in the same direction,",1,eng,29,0.007293762575452716
