story,lang,sentences,grain_size,index
1,eng,"Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Varanasi,!and overtaking on his way a monk of venerable appearance who was walking in the same direction, he thought to himself; ' This shramana' looks noble and saintly, Companionship with good men brings luck; should he also be going to Varanasi, I will invite him to ride with me in my carriage.""Having saluted the shramana he told him whither he was driving and at what inn he intended to stay in Varanasi.Learning that the shramana, whose name was Narada, also was travelling to Varanasi, he asked him to accept a seat in his carriage.'I am obliged to you for your kindness,"" said the shramana to the Brahman, for I am quite worn out by the long journey.",5,1
1,eng,"Having no possessions in this world, I cannot repay you in money; but it may happen that I can reward you with some spiritual treasure out of the wealth of the information I have received while following Shakyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.""Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Narada.After about an hour's journey, they came to a place where the road had become almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress.Dévala, the owner of the cart, was on his way to Varanasi to sell his rice, and was anxious to reach the town before the dawn of the next morning.If he was delayed a day or two longer, the rice merchants might have left town or bought all the stock they needed.",5,2
1,eng,"When the jeweller saw that he could not proceed on his way unless the farmer's cart was removed, he began to grow angry and ordered Mahadata, his slave, to push the cart aside, so that his carriage could pass by.The farmer remonstrated because it being so near the slope of the road, it would jeopardise his cargo; but the Brahman would not listen to the farmer and bade his servant overturn the rice cart and push it aside.Mahaduta, an unusually strong man who seemed to take delight in the injury of others, obeyed before the shramana could interfere.When Pandu was about to continue his travel the shramana jumped out of the carriage and said: 'Excuse me, sir, for leaving you here.I am under obligations for your kindness in giving me an hour's ride in your carriage.",5,3
1,eng,"I was tired when you picked me up on the road, but now thanks to your courtesy, I am rested, and recognising in this farmer an incarnation of one of your ancestors I cannot repay your kindness better than by assisting him in his troubles.""The Brahman looked at the shramana in amazement: ""That farmer, you say, is an incarnation of one of my ancestors?That is impossible.""""I know,"" replied the shramana, ""that you are not aware of the numerous important relations which tie your fate to that of the farmer.But the blind man cannot be expected to see; so I regret that you do harm to yourself and I shall try to protect you against the wounds which you are about to inflict upon yourself.""",5,4
1,eng,"The wealthy merchant was not accustomed to be reprimanded, and feeling that the words of the shramana, although uttered with great kindness, contained a stinging reproach, bade his servant drive on without further delay.The shramana saluted Dévala, the farmer, and began to help him repair his cart and load up the rice, part of which had been thrown out.The work proceeded quickly and Dévala thought: ""This shramana must be a holy man; invisible devas seem to assist him, I will ask him how I deserved the ill treatment at the hands of the proud Brahman.""And he said: ""Venerable sir, can you tell me why I suffer an injustice from a man to whom I have never done any harm?""And the shramana said: ""My dear friend, you do not suffer an injustice, but only receive in your present state of existence the same treatment which you visited upon the jeweller in a former life, and if I am not mistaken in reading the thoughts of your mind, I should say that you would, even to-day, have done the same unto the jeweller if he had been in your place, and if you had had such a strong slave at your command as he has, able to deal with you at his pleasure.""",5,5
1,eng,"The farmer confessed that if he had had the power, he would have felt little compunction in treating another man who had happened to impede his way as he had been treated by the Brahman, but thinking of the retribution attendant upon unkind deeds, he resolved to be more considerate in the future with his fellow beings.The rice was loaded and both travelled on to Varanasi, when all of a sudden the horse jumped aside.""A snake, a snake!""shouted the farmer.But the shramana looked closely at the object at which the horse shuddered, jumped out of the cart and saw that it was a purse full of gold, and the idea struck him: 'No one else but the wealthy jeweller can have lost this purse.""",5,6
1,eng,"He took the purse and handing it to the farmer said: 'Take this purse and when you come to Varanasi drive up to the inn which I shall point out to you; ask for Pandu, the Brahman, and deliver the purse.He will excuse himself for the rudeness with which he treated you, but tell him that you have forgiven him and wish him success in all his undertakings.For, let me tell you, the more successful he is, the better you will prosper; your fate depends in many respects upon his fate.Should the jeweller demand any explanation, send him to the vildra where he shall find me ready to assist him with advice in case he may feel the need of it.""Pandu in the meantime arrived at Varanasi and met Mallika, his business-friend, a rich banker, ""I am a ruined man,"" said Mallika, ""and can do no business with you, unless I can buy a cart of the best rice for the king's table.",5,7
1,eng,"There is a rival banker in Varanasi who learning that I had made a contract with the royal treasurer to deliver the rice to-morrow morning, and being desirous to bring about my destruction, has bought up all the rice in Varanasi, the royal treasurer must have received a bribe, for he will not release me from my contract and to-morrow I shall be a ruined man unless Krishna will send an angel from heaven to help me.""While Mallika was still lamenting the poverty to which his rival would reduce him, Pandu missed his purse.Searching his carriage without being able to find it, he suspected his slave Mahaduta; and calling the police accused him of theft, and had him bound and cruelly tortured to extort a confession.The slave in his agonies cried: ""I am innocent, let me go, for I cannot stand this pain; I am quite innocent at least of this crime, and suffer now for other sins.O, that I could beg the farmer's pardon whom, far the sake of my master, I wronged without any cause!",5,8
1,eng,"This torture, I believe, is a punishment for my rudeness.""While the police officer was still applying the lash to the back of the slave, the farmer arrived at the inn, and, to the great astonishment of all concerned, delivered the purse.The slave was at once released from the hands of his torturer.But being dissatisfied with his master, he secretly left and joined a band of robbers in the mountains, who made him their chief on account of his great strength and courage.When Mallika heard that the farmer had the best rice to sell, fit for delivery to the royal table, he bought at once the whole car-load for triple the price that the farmer had ever received, and Pandu, glad at heart to have his money restored, hastened at once to the vihara to receive further explanations from Narada, the shramana.",5,9
1,eng,"Narada said: ""I might give thee an explanation, but knowing that thou art unable to understand a spiritual truth, I prefer to remain silent.However, I shall give thee some advice: Treat every man whom thou meetest as thy own self; serve him as thou wouldst demand to be served thyself; for thus thou shalt sow a sowing of good deeds, the rich harvest of which thou wilt not fail to reap.""""Give me, O shramana, the explanation,"" said the jeweller, ""and I shall thereby be better able to follow your advice.""The shramana said: 'Listen then, I will give you the key to the mystery.If you do not understand it, have faith in what I say.",5,10
