story,lang,sentences,sentence_num
1,eng,"Pandu, a wealthy jeweller of the Brahman caste, was travelling with a servant in a carriage on some lucrative business to Varanasi, and overtaking on his way a monk of venerable appearance who was walking in the same direction, he thought to himself; ' This shramana' looks noble and saintly, Companionship with good men brings luck; should he also be going to Varanasi, I will invite him to ride with me in my carriage.""",1
1,eng,Having saluted the shramana he told him whither he was driving and at what inn he intended to stay in Varanasi.,2
1,eng,"Learning that the shramana, whose name was Narada, also was travelling to Varanasi, he asked him to accept a seat in his carriage.",3
1,eng,"'I am obliged to you for your kindness,"" said the shramana to the Brahman, for I am quite worn out by the long journey.",4
1,eng,"Having no possessions in this world, I cannot repay you in money; but it may happen that I can reward you with some spiritual treasure out of the wealth of the information I have received while following Shakyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.""",5
1,eng,Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Narada.,6
1,eng,"After about an hour's journey, they came to a place where the road had become almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress.",7
1,eng,"Dévala, the owner of the cart, was on his way to Varanasi to sell his rice, and was anxious to reach the town before the dawn of the next morning.",8
1,eng,"If he was delayed a day or two longer, the rice merchants might have left town or bought all the stock they needed.",9
1,eng,"When the jeweller saw that he could not proceed on his way unless the farmer's cart was removed, he began to grow angry and ordered Mahadata, his slave, to push the cart aside, so that his carriage could pass by.",10
1,eng,"The farmer remonstrated because it being so near the slope of the road, it would jeopardise his cargo; but the Brahman would not listen to the farmer and bade his servant overturn the rice cart and push it aside.",11
1,eng,"Mahaduta, an unusually strong man who seemed to take delight in the injury of others, obeyed before the shramana could interfere.",12
1,eng,"When Pandu was about to continue his travel the shramana jumped out of the carriage and said: 'Excuse me, sir, for leaving you here.",13
1,eng,I am under obligations for your kindness in giving me an hour's ride in your carriage.,14
1,eng,"I was tired when you picked me up on the road, but now thanks to your courtesy, I am rested, and recognising in this farmer an incarnation of one of your ancestors I cannot repay your kindness better than by assisting him in his troubles.""",15
1,eng,"The Brahman looked at the shramana in amazement: ""That farmer, you say, is an incarnation of one of my ancestors?",16
1,eng,"That is impossible.""",17
1,eng,"""I know,"" replied the shramana, ""that you are not aware of the numerous important relations which tie your fate to that of the farmer.",18
1,eng,"But the blind man cannot be expected to see; so I regret that you do harm to yourself and I shall try to protect you against the wounds which you are about to inflict upon yourself.""",19
1,eng,"The wealthy merchant was not accustomed to be reprimanded, and feeling that the words of the shramana, although uttered with great kindness, contained a stinging reproach, bade his servant drive on without further delay.",20
1,eng,"The shramana saluted Dévala, the farmer, and began to help him repair his cart and load up the rice, part of which had been thrown out.",21
1,eng,"The work proceeded quickly and Dévala thought: ""This shramana must be a holy man; invisible devas seem to assist him, I will ask him how I deserved the ill treatment at the hands of the proud Brahman.""",22
1,eng,"And he said: ""Venerable sir, can you tell me why I suffer an injustice from a man to whom I have never done any harm?""",23
1,eng,"And the shramana said: ""My dear friend, you do not suffer an injustice, but only receive in your present state of existence the same treatment which you visited upon the jeweller in a former life, and if I am not mistaken in reading the thoughts of your mind, I should say that you would, even to-day, have done the same unto the jeweller if he had been in your place, and if you had had such a strong slave at your command as he has, able to deal with you at his pleasure.""",24
1,eng,"The farmer confessed that if he had had the power, he would have felt little compunction in treating another man who had happened to impede his way as he had been treated by the Brahman, but thinking of the retribution attendant upon unkind deeds, he resolved to be more considerate in the future with his fellow beings.",25
1,eng,"The rice was loaded and both travelled on to Varanasi, when all of a sudden the horse jumped aside.",26
1,eng,"""A snake, a snake!""",27
1,eng,shouted the farmer.,28
1,eng,"But the shramana looked closely at the object at which the horse shuddered, jumped out of the cart and saw that it was a purse full of gold, and the idea struck him: 'No one else but the wealthy jeweller can have lost this purse.""",29
1,eng,"He took the purse and handing it to the farmer said: 'Take this purse and when you come to Varanasi drive up to the inn which I shall point out to you; ask for Pandu, the Brahman, and deliver the purse.",30
1,eng,"He will excuse himself for the rudeness with which he treated you, but tell him that you have forgiven him and wish him success in all his undertakings.",31
1,eng,"For, let me tell you, the more successful he is, the better you will prosper; your fate depends in many respects upon his fate.",32
1,eng,"Should the jeweller demand any explanation, send him to the vildra where he shall find me ready to assist him with advice in case he may feel the need of it.""",33
1,eng,"Pandu in the meantime arrived at Varanasi and met Mallika, his business-friend, a rich banker, ""I am a ruined man,"" said Mallika, ""and can do no business with you, unless I can buy a cart of the best rice for the king's table.",34
1,eng,"There is a rival banker in Varanasi who learning that I had made a contract with the royal treasurer to deliver the rice to-morrow morning, and being desirous to bring about my destruction, has bought up all the rice in Varanasi, the royal treasurer must have received a bribe, for he will not release me from my contract and to-morrow I shall be a ruined man unless Krishna will send an angel from heaven to help me.""",35
1,eng,"While Mallika was still lamenting the poverty to which his rival would reduce him, Pandu missed his purse.",36
1,eng,"Searching his carriage without being able to find it, he suspected his slave Mahaduta; and calling the police accused him of theft, and had him bound and cruelly tortured to extort a confession.",37
1,eng,"The slave in his agonies cried: ""I am innocent, let me go, for I cannot stand this pain; I am quite innocent at least of this crime, and suffer now for other sins.",38
1,eng,"O, that I could beg the farmer's pardon whom, far the sake of my master, I wronged without any cause!",39
1,eng,"This torture, I believe, is a punishment for my rudeness.""",40
1,eng,"While the police officer was still applying the lash to the back of the slave, the farmer arrived at the inn, and, to the great astonishment of all concerned, delivered the purse.",41
1,eng,The slave was at once released from the hands of his torturer.,42
1,eng,"But being dissatisfied with his master, he secretly left and joined a band of robbers in the mountains, who made him their chief on account of his great strength and courage.",43
1,eng,"When Mallika heard that the farmer had the best rice to sell, fit for delivery to the royal table, he bought at once the whole car-load for triple the price that the farmer had ever received, and Pandu, glad at heart to have his money restored, hastened at once to the vihara to receive further explanations from Narada, the shramana.",44
1,eng,"Narada said: ""I might give thee an explanation, but knowing that thou art unable to understand a spiritual truth, I prefer to remain silent.",45
1,eng,"However, I shall give thee some advice: Treat every man whom thou meetest as thy own self; serve him as thou wouldst demand to be served thyself; for thus thou shalt sow a sowing of good deeds, the rich harvest of which thou wilt not fail to reap.""",46
1,eng,"""Give me, O shramana, the explanation,"" said the jeweller, ""and I shall thereby be better able to follow your advice.""",47
1,eng,"The shramana said: 'Listen then, I will give you the key to the mystery.",48
1,eng,"If you do not understand it, have faith in what I say.",49
1,eng,"Self is an illusion, and he whose mind is bent upon following self, follows an ignis fatuus which leads him into the quagmire of sin.",50
1,eng,"The illusion of self is the veil of Maya that blinds your eyes and prevents you from recognising the close relations that obtain between yourself and your fellows, and from tracing the identity of your self in the souls of other beings.",51
1,eng,Ignorance is the source of sin.,52
1,eng,There are few who know the truth.,53
1,eng,Let this motto be your talisman: 'He who hurts others injures himself.,54
1,eng,He who helps others advances his own interests.,55
1,eng,Let the delusion of self disappear from your mind.,56
1,eng,And you will naturally walk in the path of truth.',57
1,eng,"""To him whose vision is dimmed by the veil of Maya, the spiritual world appears to be cut up into innumerable selves.",58
1,eng,"Thus he will be puzzled in many ways concerning the transmigration of soul-life, and will be incapable of understanding the import of an all-comprehensive kindness toward all living beings.""",59
1,eng,"The jeweller replied: 'Your words, O venerable sir, have a deep significance and I shall bear them in mind.",60
1,eng,"I extended a small kindness which caused me no expense whatever to a poor shramana on my way to Varanasi, and lo!",61
1,eng,how propitious has been the result!,62
1,eng,"I am deeply in your debt, for without you I should not only have lost my purse, but would have been prevented from doing business in Varanasi which greatly increased my wealth, while if it had been left undone it might have reduced me to a state of wretched poverty.",63
1,eng,"In addition, your thoughtfulness and the arrival of the farmer's rice-cart preserved the prosperity of my friend Mallika, the banker.",64
1,eng,"If all men saw the truth of your maxims, how much better the world would be, how greatly evils would be lessened, and public welfare enhanced!",65
1,eng,"As I am anxious to let the truth of buddha be understood, I shall found a vihara at my native place, Kaushambi, and invite you to visit me so that I may dedicate the place to the brotherhood of Buddha's disciples.""",66
1,eng,Years passed on and Pandu's vihara at Kaushambi became a place in which wise shramanas used ta stay and it was renowned as a centre of enlightenment for the people of the town.,67
1,eng,"At that time the king of a neighboring country had heard of the beauty of Pandu's jewelry, and he sent his treasurer to order a royal diadem wrought in pure gold and set with the most precious stones of India.",68
1,eng,"When Pandu had finished the work, he started for the residence of the king, and as he expected to transact other profitable business, took with him a great store of gold pieces.",69
1,eng,"The caravan carrying his goods was protected by a strong escort of armed men, but when they reached the mountains they were attacked by a band of robbers lead by Mahaduta, who beat them and took away all the jewelry and the gold, and Pandu escaped with great difficulty.",70
1,eng,"This misfortune was a blow to Pandu's prosperity, and as he suffered some other severe losses, his wealth was much reduced.",71
1,eng,"Pandu was much distressed, but he bore his misfortunes without complaint, thinking to himself: ""I have deserved these losses for the sins committed in my past existence.",72
1,eng,"In my younger years I was very hard on other people; when I now reap the harvest of my evil deeds I have no cause for complaint.""",73
1,eng,"As he had grown in kindliness toward all beings, his misfortunes only served to purify his heart; and his chief regret, when thinking of his reduced means, was that he had become unable to do good and to help his friends in the vihara to spread the truths of religion.",74
1,eng,"Again years passed on and it happened that Panthaka, a young shramana and a disciple of Narada, was travelling through the mountains of Kaushambi, and he fell among the robbers in the mountains.",75
1,eng,"As he had nothing in his possession, the robber-chief beat him severely and let him go.",76
1,eng,"On the next morning Panthaka, while pursuing his way through the woods, heard a noise as of quarrelling and fighting men, and going to the place he saw a number of robbers, all of them in a great rage, and in their midst stood Mahaduta, their chief; and the chief was desperately fighting them, like a lion surrounded by hounds, and he slew several of his aggressors with formidable blows, but there were too many against one!",77
1,eng,"At last he succumbed and fell to the ground as if dead, covered with fatal wounds.",78
