story,lang,sentences,sentence_num
1,french,LE PERE MARTIN CONTE DE NOEL I Vous ne connaissez pas le père Martin?,1
1,french,"Quoi-qu'il ne soit qu'un pauvre cordonnier, il ne loge pas dans une mansard.",2
1,french,"Son atelier, son salon, sa chambre à coucher et sa cuisine, sont tous réunis dans une échoppe de bois qui fait l'angle de la place de Lenche et de la rue des Martégales, dans notre bonne vieille ville de Marseille.",3
1,french,"C'est là qu'il vit en philosophe, ni trop riche ni trop pauvre, ressemelant tout le quartier; car, depuis que ses yeux ont vieilli, le bonhomme ne travaille plus dans le neuf.",4
1,french,"Si vous ne le connaissez pas, les pescatori du quartier St-Jean le connaissent bien, et les revendeuses du marché qui est sur la place, et les gamins de l'école communale qui passent comme un essaim devant sa porte, lorsque quatre heures sonnent à l'Evêché.",5
1,french,"Il leur a cousu des pièces à tous, il sait où le soulier les blesse.",6
1,french,"Les ménagères n’ont de confiance qu’en lui, pour mettre des talons solides aux chaussures de leur garnement, qui écule en quinze jours les souliers les mieux confectionnés.",7
1,french,"Le père Martin, depuis quelque temps, s'est fait la réputation d'être dévot.",8
1,french,"Non qu'il craigne le mot pour rire, mais depuis qu'il va aux « Conférences », comme on appelle ces réunions où l'on chante des cantiques et où l’on parle en français du bon Dieu, il est tout changé.",9
1,french,"Il ne travaille ni moins ni plus mal, au contraire.",10
1,french,"On ne le voit plus au café des Argonautes, comme autrefois.",11
1,french,"Il a un gros livre qu’on lui voit lire souvent, quand on regarde par le petit vitrage de son échoppe ; il paraît beaucoup plus heureux qu'il ne l’était auparavant.",12
1,french,"Il a eu des malheurs, le père Martin.",13
1,french,"Sa femme est morte il y a plus de vingt ans ; son fils, parti comme matelot, à bord du brick le Phocéen, n'a plus reparu depuis dix ans.",14
1,french,"Quant à sa fille, il n'en parle jamais; quand on lui demande ce qu'elle est devenue, une ombre passe sur son front, il ne répond qu’en secouant la tête.",15
1,french,"Aussi, même quand it allait au café, après la journée, faire un piquet avec les camarades, de vieux cordonnier était-il rarement d'une gaité parfaite.",16
1,french,"Maintenant, avons-nous dit, il paraît plus heureux: son gros livre semble en être la cause.",17
1,french,II.,18
1,french,C'est la veille de Noël.,19
1,french,Il fait au dehors un temps froid et humide; mais l'échoppe du père Martin est claire et bien chauffée.,20
1,french,"Il a fini son travail et mangé sa soupe; son petit poêle ronfle, et lui, assis dans un bon fauteuil de paille, ses besicles sur le nez, se tient près de la table et lit.",21
1,french,« Il n’y avait point de place pour eux dans l'hôtellerie (1).,22
1,french,"» Ici le lecteur s'arrête pour réfléchir.--Point de place, dit-il, point de place pour Lui!",23
1,french,"Il regarde alors sa chambrette, étroite et propre dans sa pauvreté, — Il y aurait du de la place pour Lui ici, ajoute-t-il, s'il y était venu!",24
1,french,Quel bonheur de le recevoir!,25
1,french,"Je me serait gêné, bien sûr, je leur aurais donné toute la place!..",26
1,french,Point de place pour Lui!,27
1,french,Oh!,28
1,french,"Que ne vient-il m'en demander une, à moi.",29
1,french,"Je suis seul, je n’ai personne à qui penser.",30
1,french,Chacun a sa famille et ses amis; qui se soucie de moi sur la terre?,31
1,french,J’aimerais bien qu’Il vint me tenir compagnie.,32
1,french,Si c'était aujourd'hui le premier Noël!,33
1,french,Si ce soir le Sauveur devait venir au monde!,34
1,french,S'il choisissait mon échoppe pour y entrer!,35
1,french,"Comme je le servirais, comme je l'adorerais!..",36
1,french,"Pourquoi ne se montre-t-il plus aujourd'hui, comme il le faisait autrefois?",37
1,french,Que lui donnerais-je?,38
1,french,"La Bible dit bien ce qu'apportèrent les mages : de l'or, de l'encens et de la myrrhe : je n’ai rien de tout cela!",39
1,french,"Ils étaient riches, ces mages.",40
1,french,"Mais les bergers, que lui donnèrent-ils?",41
1,french,Cela n’est pas dit.,42
1,french,Ils n'eurent peut-être pas le temps de rien apporter.,43
1,french,Ah!,44
1,french,"Je sais bien, moi, ce que je lui donnerais!",45
1,french,"Et le père Martin, au milieu de toutes ces pensées plus ou moins incohérentes, se leva, tendit la main vers une étagère, où se trouvait deux mignons petits souliers soigneusement enveloppés, deux souliers de nourrisson. — Voilà, dit-il, voilà ce que je lui offrirais, mon chef-d'oeuvre.",46
1,french,C'est la mére qui serait contente!,47
1,french,Mais à quoi pensais-je?,48
1,french,reprit-il en souriant.,49
1,french,"Vraiment, je radote.",50
1,french,Est-il possible que je m'imagine des choses pareilles ?,51
1,french,Comme si le Sauveur avait besoin de mon échoppe et de mes souliers!,52
1,french,Le vieillard s'enfonça dans son fauteuil et continua ses réflexions.,53
1,french,"La foule devenait plus nombreuse dans les rues, à mesure que la soirée s'avançait: des bruits de réveillon commençaient à se faire entendre.",54
1,french,Mais le père Martin ne bougeait pas.,55
1,french,Il est probable qu'il s'était endormi. --Martin!,56
1,french,dit une voix douce tout près de lui.,57
1,french,Qui va là?,58
1,french,Cria le cordonnier en sursaut.,59
1,french,"Mais il eut beau se tourner vers la porte, il ne vit personne. --Martin, tu as désiré me voir, eh bien, regarde dans la rue, demain depuis l'aurore jusqu'au soir ; tu me verras passer un moment ou l'autre.",60
1,french,"Efforce-toi de me reconnaitre, car je ne me ferai point connaitre à toi.",61
1,french,La voix se tut; Martin se frotta les yeux.,62
1,french,"Sa lampe s'était éteinte, le pétrole ayant manqué.",63
1,french,"Minuit sonnait à toutes les horloges : Noël était venu. --C'est lui, se dit vieillard.",64
