story,lang,sentences,grain_size,index
1,french,LE PERE MARTIN CONTE DE NOEL I Vous ne connaissez pas le père Martin?,1,1
1,french,"Quoi-qu'il ne soit qu'un pauvre cordonnier, il ne loge pas dans une mansard.",1,2
1,french,"Son atelier, son salon, sa chambre à coucher et sa cuisine, sont tous réunis dans une échoppe de bois qui fait l'angle de la place de Lenche et de la rue des Martégales, dans notre bonne vieille ville de Marseille.",1,3
1,french,"C'est là qu'il vit en philosophe, ni trop riche ni trop pauvre, ressemelant tout le quartier; car, depuis que ses yeux ont vieilli, le bonhomme ne travaille plus dans le neuf.",1,4
1,french,"Si vous ne le connaissez pas, les pescatori du quartier St-Jean le connaissent bien, et les revendeuses du marché qui est sur la place, et les gamins de l'école communale qui passent comme un essaim devant sa porte, lorsque quatre heures sonnent à l'Evêché.",1,5
1,french,"Il leur a cousu des pièces à tous, il sait où le soulier les blesse.",1,6
1,french,"Les ménagères n’ont de confiance qu’en lui, pour mettre des talons solides aux chaussures de leur garnement, qui écule en quinze jours les souliers les mieux confectionnés.",1,7
1,french,"Le père Martin, depuis quelque temps, s'est fait la réputation d'être dévot.",1,8
1,french,"Non qu'il craigne le mot pour rire, mais depuis qu'il va aux « Conférences », comme on appelle ces réunions où l'on chante des cantiques et où l’on parle en français du bon Dieu, il est tout changé.",1,9
1,french,"Il ne travaille ni moins ni plus mal, au contraire.",1,10
1,french,"On ne le voit plus au café des Argonautes, comme autrefois.",1,11
1,french,"Il a un gros livre qu’on lui voit lire souvent, quand on regarde par le petit vitrage de son échoppe ; il paraît beaucoup plus heureux qu'il ne l’était auparavant.",1,12
1,french,"Il a eu des malheurs, le père Martin.",1,13
1,french,"Sa femme est morte il y a plus de vingt ans ; son fils, parti comme matelot, à bord du brick le Phocéen, n'a plus reparu depuis dix ans.",1,14
1,french,"Quant à sa fille, il n'en parle jamais; quand on lui demande ce qu'elle est devenue, une ombre passe sur son front, il ne répond qu’en secouant la tête.",1,15
1,french,"Aussi, même quand it allait au café, après la journée, faire un piquet avec les camarades, de vieux cordonnier était-il rarement d'une gaité parfaite.",1,16
1,french,"Maintenant, avons-nous dit, il paraît plus heureux: son gros livre semble en être la cause.",1,17
1,french,II.,1,18
1,french,C'est la veille de Noël.,1,19
1,french,Il fait au dehors un temps froid et humide; mais l'échoppe du père Martin est claire et bien chauffée.,1,20
1,french,"Il a fini son travail et mangé sa soupe; son petit poêle ronfle, et lui, assis dans un bon fauteuil de paille, ses besicles sur le nez, se tient près de la table et lit.",1,21
1,french,« Il n’y avait point de place pour eux dans l'hôtellerie (1).,1,22
1,french,"» Ici le lecteur s'arrête pour réfléchir.--Point de place, dit-il, point de place pour Lui!",1,23
1,french,"Il regarde alors sa chambrette, étroite et propre dans sa pauvreté, — Il y aurait du de la place pour Lui ici, ajoute-t-il, s'il y était venu!",1,24
1,french,Quel bonheur de le recevoir!,1,25
1,french,"Je me serait gêné, bien sûr, je leur aurais donné toute la place!..",1,26
1,french,Point de place pour Lui!,1,27
1,french,Oh!,1,28
1,french,"Que ne vient-il m'en demander une, à moi.",1,29
1,french,"Je suis seul, je n’ai personne à qui penser.",1,30
1,french,Chacun a sa famille et ses amis; qui se soucie de moi sur la terre?,1,31
1,french,J’aimerais bien qu’Il vint me tenir compagnie.,1,32
1,french,Si c'était aujourd'hui le premier Noël!,1,33
1,french,Si ce soir le Sauveur devait venir au monde!,1,34
1,french,S'il choisissait mon échoppe pour y entrer!,1,35
1,french,"Comme je le servirais, comme je l'adorerais!..",1,36
1,french,"Pourquoi ne se montre-t-il plus aujourd'hui, comme il le faisait autrefois?",1,37
1,french,Que lui donnerais-je?,1,38
1,french,"La Bible dit bien ce qu'apportèrent les mages : de l'or, de l'encens et de la myrrhe : je n’ai rien de tout cela!",1,39
1,french,"Ils étaient riches, ces mages.",1,40
1,french,"Mais les bergers, que lui donnèrent-ils?",1,41
1,french,Cela n’est pas dit.,1,42
1,french,Ils n'eurent peut-être pas le temps de rien apporter.,1,43
1,french,Ah!,1,44
1,french,"Je sais bien, moi, ce que je lui donnerais!",1,45
1,french,"Et le père Martin, au milieu de toutes ces pensées plus ou moins incohérentes, se leva, tendit la main vers une étagère, où se trouvait deux mignons petits souliers soigneusement enveloppés, deux souliers de nourrisson. — Voilà, dit-il, voilà ce que je lui offrirais, mon chef-d'oeuvre.",1,46
1,french,C'est la mére qui serait contente!,1,47
1,french,Mais à quoi pensais-je?,1,48
1,french,reprit-il en souriant.,1,49
1,french,"Vraiment, je radote.",1,50
1,french,Est-il possible que je m'imagine des choses pareilles ?,1,51
1,french,Comme si le Sauveur avait besoin de mon échoppe et de mes souliers!,1,52
1,french,Le vieillard s'enfonça dans son fauteuil et continua ses réflexions.,1,53
1,french,"La foule devenait plus nombreuse dans les rues, à mesure que la soirée s'avançait: des bruits de réveillon commençaient à se faire entendre.",1,54
1,french,Mais le père Martin ne bougeait pas.,1,55
1,french,Il est probable qu'il s'était endormi. --Martin!,1,56
1,french,dit une voix douce tout près de lui.,1,57
1,french,Qui va là?,1,58
1,french,Cria le cordonnier en sursaut.,1,59
1,french,"Mais il eut beau se tourner vers la porte, il ne vit personne. --Martin, tu as désiré me voir, eh bien, regarde dans la rue, demain depuis l'aurore jusqu'au soir ; tu me verras passer un moment ou l'autre.",1,60
1,french,"Efforce-toi de me reconnaitre, car je ne me ferai point connaitre à toi.",1,61
1,french,La voix se tut; Martin se frotta les yeux.,1,62
1,french,"Sa lampe s'était éteinte, le pétrole ayant manqué.",1,63
1,french,"Minuit sonnait à toutes les horloges : Noël était venu. --C'est lui, se dit vieillard.",1,64
1,french,Il a promis de passer devant mon échoppe.,1,65
1,french,Peut-être était-ce un rêve?,1,66
1,french,N'importe!,1,67
1,french,Je l'attendrai.,1,68
1,french,"Je ne l'ai jamais vu, mais n'ai-je pas admiré son portrait dans toutes les églises?",1,69
1,french,Je saurai bien le reconnaitre !,1,70
1,french,"Là-dessus, Martin gagna son lit, et longtemps encore repassa dans son esprit les étranges paroles qu'il avait entendues.",1,71
1,french,III.,1,72
1,french,"Longtemps avant le jour, 1a petite lampe du cordonnier était allumée.",1,73
1,french,"Il remit du charbon dans son poêle, qui n’était pas encore éteint, et se mit en devoir de préparer son café.",1,74
1,french,"Puis il se hâla de ranger sa chambre, et vint se placer enfin près de la fenêtre, pour guetter les premières lueurs du jour et les premiers passants.",1,75
1,french,"Peu à peu le ciel s’éclaira, et Martin ne tarda pas à voir paraître sur la place le balayeur de rues, le plus matinal de tous les travailleurs.",1,76
1,french,"Il ne lui accorda qu'un regard distrait ; il avait, en vérité, bien autre chose à faire qu’à regarder un balayeur de rues!",1,77
1,french,"Cependant il paraissait faire froid au dehors, car la vitre se couvrait constamment de buée, et le cantonnier, après avoir donné quelques vigoureux coups de balai, ne tarda pas à éprouver le besoin de se réchauffer par un exercice plus énergique, en battant des bras de toutes ses forces, et en frappant le sol tantôt d’un pied tantôt de l’autre. —Le brave homme, se dit Martin, il a froid, tout de même.",1,78
1,french,C'est fête aujourd'hui... mais non pas pour lui.,1,79
1,french,Si je lui offrais une tasse de café?,1,80
1,french,Et il frappa contre la vitre.,1,81
1,french,"La balayeur tourna la tête, vit celle du père Martin derrière sa fenêtre, et s'approcha.",1,82
1,french,Le cordonnier ouvrit sa porte.,1,83
1,french,"Entrez, dit-il, venez vous réchauffer. —C'est pas de refus, merci.",1,84
1,french,Quel temps de chien !,1,85
1,french,On se croirait en Russie.,1,86
